Country;Industry;Industry_name;Year;LP1_G;LP1ConIntang;LP1ConTFP;LP1ConTangICT;I_Intang;I_OrgCap;I_Soft_DB
Denmark;C;Manufacturing;1996;-1.71631836891174;1.03060102462769;-3.98731350898743;0.255564004182816;23280.0928116648;2982.86839193097;1912.018
Denmark;C;Manufacturing;1997;8.07025241851807;0.619492769241333;6.51264762878418;0.14299076795578;24115.7184662661;3105.55177275014;1748.201
Denmark;C;Manufacturing;1998;2.24257230758667;0.898193299770355;-0.298644512891769;-0.10243534296751;26860.7847072195;3219.75479742653;2209.083
Denmark;C;Manufacturing;1999;0.781893014907837;0.700984835624695;0.269384175539017;0.00474001513794065;27931.9393217077;3346.47469562361;2520.624
Denmark;C;Manufacturing;2000;3.34919023513794;0.940000712871552;1.97463226318359;-0.00986798666417599;30932.9253131785;3480.23659021627;2318.97
Denmark;C;Manufacturing;2001;1.02649676799774;0.995126247406006;-0.253766417503357;-0.0628499686717987;33811.0026471813;3737.81410291163;2017.862
Denmark;C;Manufacturing;2002;1.1701146364212;1.75607943534851;-2.0248851776123;0.0953237861394882;29209.6451032228;3718.16537200642;2684.205
Denmark;C;Manufacturing;2003;4.0059552192688;2.31346702575684;0.0159715637564659;0.0177852474153042;33245.5934193455;3614.74890592105;2898.698
Denmark;C;Manufacturing;2004;5.39176464080811;1.16212952136993;3.05263638496399;0.112735420465469;32227.0252150717;3723.90723282581;2926.996
Denmark;C;Manufacturing;2005;1.69489121437073;1.63014590740204;-0.462790995836258;-0.00962299481034279;37199.0968847932;3917.75121687128;3215.758
Denmark;C;Manufacturing;2006;6.24881839752197;1.00616061687469;4.55278158187866;0.00461631454527378;36108.3092944924;4138.71310148988;3258.935
Denmark;C;Manufacturing;2007;0.795017719268799;0.610905945301056;-0.0983502715826035;-0.087987594306469;38064.9023693464;4408.36109294656;3812.331
Denmark;C;Manufacturing;2008;0.243938133120537;0.973579823970795;0.659663438796997;-0.123006336390972;44148.0876385104;4408.81020417933;4411.793
